user,total_pos_rating,total_neg_rating,total_pos_pur,total_neg_pur
236,18477,4444,15138,7783
237,18512,4458,15186,7784
238,18518,4462,15189,7791
239,18840,4532,15443,7929
240,19189,4625,15707,8107
241,19241,4637,15747,8131
242,19571,4722,16024,8269
243,19618,4735,16074,8279
244,19902,4803,16307,8398
245,19902,4803,16307,8398
246,19945,4818,16363,8400
247,19948,4818,16363,8403
248,20228,4882,16572,8538
249,20234,4884,16578,8540
250,20297,4893,16638,8552
251,20309,4895,16640,8564
252,20334,4902,16653,8583
253,20361,4908,16683,8586
254,20714,4989,16961,8742
255,20730,4993,16974,8749
256,20749,4995,16977,8767
257,20812,5006,17043,8775
258,20815,5007,17043,8779
259,20824,5011,17050,8785
260,21131,5085,17311,8905
261,21235,5101,17372,8964
262,21320,5122,17427,9015
263,21699,5208,17700,9207
264,21736,5219,17718,9237
265,21741,5219,17719,9241
266,21775,5227,17739,9263
267,21787,5228,17742,9273
268,21942,5261,17862,9341
269,21975,5267,17894,9348
270,22323,5346,18159,9510
271,22342,5350,18175,9517
272,22396,5358,18236,9518
273,22398,5358,18237,9519
274,22460,5371,18307,9524
275,22762,5435,18546,9651
276,22762,5435,18546,9651
277,22928,5483,18679,9732
278,22944,5491,18692,9743
279,23241,5563,18931,9873
280,23241,5563,18931,9873
281,23263,5571,18941,9893
282,23417,5599,19057,9959
283,23578,5633,19190,10021
284,23923,5723,19458,10188
285,23970,5734,19514,10190
286,24115,5771,19658,10228
287,24362,5829,19843,10348
288,24600,5872,20019,10453
289,24960,5974,20301,10633
290,25141,6018,20439,10720
291,25197,6026,20498,10725
292,25515,6097,20745,10867
293,25521,6104,20750,10875
294,25528,6105,20755,10878
295,25573,6111,20802,10882
296,25809,6173,20981,11001
297,25951,6204,21120,11035
298,26276,6283,21382,11177
299,26278,6284,21384,11178
300,26434,6323,21563,11194
301,26496,6334,21627,11203
302,26641,6367,21739,11269
303,26779,6425,21851,11353
304,26852,6442,21921,11373
305,27092,6496,22120,11468
306,27109,6499,22134,11474
307,27182,6515,22204,11493
308,27271,6543,22275,11539
309,27282,6546,22282,11546
310,27309,6552,22311,11550
311,27318,6557,22320,11555
312,27330,6560,22328,11562
313,27655,6638,22576,11717
314,27669,6641,22582,11728
315,27846,6682,22719,11809
316,27886,6688,22759,11815
317,28148,6749,22960,11937
318,28197,6755,22992,11960
319,28535,6823,23254,12104
320,28539,6825,23259,12105
321,28551,6829,23262,12118
322,28648,6847,23337,12158
323,28684,6859,23366,12177
324,28685,6859,23367,12177
325,28686,6861,23367,12180
326,28711,6869,23385,12195
327,28732,6876,23408,12200
328,28759,6883,23428,12214
329,28773,6888,23430,12231
330,28798,6894,23459,12233
331,28951,6933,23567,12317
332,29001,6950,23625,12326
333,29220,7000,23789,12431
334,29380,7037,23910,12507
335,29400,7042,23917,12525
336,29440,7056,23970,12526
337,29487,7067,24027,12527
338,29493,7069,24031,12531
339,29494,7069,24031,12532
340,29859,7147,24305,12701
341,29906,7164,24361,12709
342,29927,7167,24378,12716
343,29928,7168,24379,12717
344,30105,7205,24521,12789
345,30398,7283,24769,12912
346,30444,7294,24825,12913
347,30577,7324,24938,12963
348,30587,7326,24944,12969
349,30606,7329,24953,12982
350,30650,7336,24997,12989
351,30677,7341,25017,13001
352,30683,7343,25022,13004
353,30813,7396,25125,13084
354,30828,7397,25130,13095
355,30847,7400,25136,13111
356,30896,7411,25194,13113
357,31198,7482,25463,13217
358,31368,7526,25599,13295
359,31393,7534,25616,13311
360,31425,7538,25647,13316
361,31579,7584,25772,13391
362,31583,7586,25773,13396
363,31772,7631,25915,13488
364,31946,7669,26058,13557
365,31956,7675,26065,13566
366,32106,7710,26176,13640
367,32123,7716,26176,13663
368,32134,7716,26180,13670
369,32298,7758,26306,13750
370,32306,7760,26312,13754
371,32601,7829,26539,13891
372,32648,7837,26594,13891
373,32956,7918,26837,14037
374,33043,7929,26919,14053
375,33043,7929,26919,14053
376,33056,7936,26923,14069
377,33056,7936,26923,14069
378,33093,7945,26958,14080
379,33104,7948,26966,14086
380,33143,7956,27006,14093
381,33305,7993,27136,14162
382,33311,7996,27137,14170
383,33550,8041,27323,14268
384,33711,8076,27453,14334
385,34000,8145,27670,14475
386,34000,8145,27670,14475
387,34190,8198,27820,14568
388,34200,8198,27822,14576
389,34333,8231,27936,14628
390,34381,8237,27985,14633
391,34381,8237,27985,14633
392,34607,8298,28148,14757
393,34761,8339,28267,14833
394,34789,8345,28296,14838
395,34789,8345,28296,14838
396,34996,8398,28449,14945
397,35004,8399,28453,14950
398,35306,8477,28712,15071
399,35429,8502,28805,15126
400,35476,8506,28852,15130
401,35781,8584,29095,15270
402,35829,8595,29152,15272
403,35859,8600,29160,15299
404,35859,8600,29160,15299
405,35990,8649,29260,15379
406,36034,8666,29317,15383
407,36047,8671,29325,15393
408,36051,8671,29325,15397
409,36064,8672,29338,15398
410,36071,8674,29345,15400
411,36108,8681,29376,15413
412,36260,8714,29482,15492
413,36294,8728,29505,15517
414,36632,8824,29754,15702
415,36632,8824,29754,15702
416,36958,8901,29994,15865
417,37302,8963,30246,16019
418,37314,8964,30253,16025
419,37328,8966,30262,16032
420,37416,8984,30318,16082
421,37425,8990,30328,16087
422,37436,8993,30331,16098
423,37486,8998,30382,16102
424,37499,8999,30392,16106
425,37547,9010,30450,16107
426,37594,9019,30488,16125
427,37765,9056,30615,16206
428,37826,9066,30680,16212
429,37899,9080,30730,16249
430,37909,9082,30733,16258
431,37918,9082,30742,16258
432,38217,9146,30973,16390
433,38436,9200,31133,16503
434,38638,9246,31282,16602
435,38783,9275,31386,16672
436,39128,9366,31671,16823
437,39140,9370,31675,16835
438,39188,9378,31731,16835
439,39209,9382,31742,16849
440,39218,9384,31745,16857
441,39243,9387,31760,16870
442,39474,9442,31925,16991
443,39481,9448,31926,17003
444,39638,9487,32050,17075
445,39642,9487,32054,17075
446,39648,9490,32057,17081
447,39707,9497,32114,17090
448,39870,9544,32253,17161
449,39995,9577,32340,17232
450,40008,9578,32348,17238
451,40239,9625,32525,17339
452,40307,9638,32588,17357
453,40480,9683,32731,17432
454,40550,9690,32783,17457
455,40711,9735,32909,17537
456,40713,9737,32910,17540
457,40725,9739,32918,17546
458,40759,9748,32953,17554
459,40782,9751,32962,17571
460,40784,9751,32963,17572
461,40987,9801,33212,17576
462,41183,9852,33377,17658
463,41467,9924,33618,17773
464,41490,9927,33622,17795
465,41540,9932,33672,17800
466,41589,9943,33730,17802
467,41613,9947,33744,17816
468,41785,9989,33880,17894
469,42106,10078,34127,18057
470,42110,10079,34129,18060
471,42120,10081,34136,18065
472,42149,10088,34168,18069
473,42189,10103,34222,18070
474,42192,10105,34226,18071
475,42311,10140,34340,18111
476,42312,10143,34343,18112
477,42319,10147,34345,18121
478,42363,10154,34377,18140
479,42372,10155,34382,18145
480,42385,10159,34387,18157
481,42713,10231,34633,18311
482,43034,10312,34885,18461
483,43324,10372,35145,18551
484,43355,10379,35177,18557
485,43535,10417,35312,18640
486,43543,10420,35314,18649
487,43591,10424,35362,18653
488,43952,10499,35626,18825
489,44270,10589,35867,18992
490,44446,10629,36007,19068
491,44456,10637,36012,19081
492,44522,10648,36075,19095
493,44575,10654,36128,19101
494,44638,10665,36194,19109
495,44824,10711,36353,19182
496,44844,10716,36370,19190
497,44860,10718,36383,19195
498,45014,10746,36503,19257
499,45136,10796,36602,19330
500,45143,10796,36606,19333
501,45338,10850,36751,19437
502,45375,10862,36799,19438
503,45728,10940,37064,19604
504,46022,11002,37338,19686
505,46049,11011,37351,19709
506,46057,11012,37356,19713
507,46093,11025,37404,19714
508,46268,11077,37543,19802
509,46280,11077,37553,19804
510,46280,11077,37553,19804
511,46329,11085,37610,19804
512,46340,11086,37614,19812
513,46342,11087,37615,19814
514,46691,11178,37869,20000
515,46699,11179,37873,20005
516,46926,11217,38042,20101
517,46982,11221,38080,20123
518,46983,11221,38080,20124
519,47213,11274,38262,20225
520,47260,11279,38311,20228
521,47289,11286,38343,20232
522,47310,11291,38350,20251
523,47347,11300,38386,20261
524,47536,11336,38519,20353
525,47579,11346,38562,20363
526,47777,11402,38726,20453
527,48045,11459,38913,20591
528,48410,11554,39200,20764
529,48471,11567,39260,20778
530,48811,11647,39535,20923
531,48961,11678,39633,21006
532,48971,11678,39637,21012
533,48980,11684,39639,21025
534,48992,11689,39641,21040
535,49224,11730,39816,21138
536,49236,11735,39821,21150
537,49589,11813,40084,21318
538,49637,11821,40139,21319
539,49691,11840,40201,21330
540,49695,11842,40201,21336
541,49845,11883,40321,21407
542,49975,11908,40449,21434
543,50141,11930,40634,21437
544,50180,11945,40687,21438
545,50187,11949,40690,21446
546,50226,11964,40743,21447
547,50361,11992,40878,21475
548,50517,12030,40997,21550
549,50528,12035,41002,21561
550,50547,12042,41017,21572
551,50549,12043,41017,21575
552,50778,12087,41187,21678
553,50829,12103,41245,21687
554,50934,12119,41355,21698
555,51178,12176,41550,21804
556,51228,12182,41601,21809
557,51626,12282,41892,22016
558,51731,12299,41989,22041
559,51909,12342,42120,22131
560,52009,12363,42222,22150
561,52044,12370,42256,22158
562,52083,12378,42289,22172
563,52242,12411,42443,22210
564,52462,12477,42621,22318
565,52507,12483,42668,22322
566,52682,12523,42811,22394
567,52698,12526,42815,22409
568,52995,12582,43038,22539
569,52997,12583,43040,22540
570,53044,12594,43097,22541
571,53087,12603,43137,22553
572,53087,12603,43137,22553
573,53130,12614,43181,22563
574,53216,12630,43237,22609
575,53347,12666,43330,22683
576,53348,12667,43330,22685
577,53395,12677,43385,22687
578,53446,12683,43442,22687
579,53794,12765,43713,22846
580,53849,12774,43775,22848
581,53892,12786,43809,22869
582,53935,12798,43849,22884
583,54266,12887,44096,23057
584,54310,12897,44149,23058
585,54338,12903,44179,23062
586,54456,12934,44266,23124
587,54459,12935,44266,23128
588,54465,12938,44267,23136
589,54597,12971,44394,23174
590,54966,13068,44676,23358
591,55158,13114,44821,23451
592,55344,13158,44973,23529
593,55356,13161,44983,23534
594,55409,13167,45024,23552
595,55487,13183,45107,23563
596,55811,13263,45361,23713
597,55841,13269,45378,23732
598,55884,13276,45428,23732
599,55888,13277,45432,23733
600,56274,13379,45725,23928
601,56311,13394,45776,23929
602,56362,13408,45814,23956
603,56436,13418,45878,23976
604,56447,13422,45889,23980
605,56468,13427,45898,23997
606,56511,13432,45929,24014
607,56532,13441,45948,24025
608,56566,13448,45983,24031
609,56912,13526,46246,24192
610,57005,13546,46311,24240
611,57085,13565,46363,24287
612,57121,13578,46411,24288
613,57122,13578,46412,24288
614,57132,13579,46414,24297
615,57181,13584,46464,24301
616,57451,13652,46677,24426
617,57578,13682,46768,24492
618,57655,13698,46818,24535
619,57844,13738,46959,24623
620,57903,13747,47004,24646
621,57951,13763,47051,24663
622,57962,13765,47056,24671
623,57968,13767,47056,24679
624,58055,13775,47136,24694
625,58110,13785,47198,24697
626,58180,13799,47267,24712
627,58205,13806,47275,24736
628,58229,13812,47303,24738
629,58442,13863,47474,24831
630,58627,13905,47618,24914
631,58983,14003,47900,25086
632,58994,14007,47904,25097
633,59005,14010,47911,25104
634,59006,14010,47911,25105
635,59049,14025,47952,25122
636,59068,14028,47963,25133
637,59389,14101,48220,25270
638,59389,14101,48220,25270
639,59391,14104,48220,25275
640,59415,14110,48248,25277
641,59444,14116,48279,25281
642,59450,14118,48284,25284
643,59455,14123,48286,25292
644,59472,14125,48286,25311
645,59472,14125,48286,25311
646,59496,14126,48299,25323
647,59530,14136,48342,25324
648,59555,14141,48361,25335
649,59873,14230,48611,25492
650,60017,14266,48742,25541
651,60021,14267,48745,25543
652,60038,14273,48748,25563
653,60263,14321,48935,25649
654,60266,14322,48936,25652
655,60548,14391,49144,25795
656,60785,14430,49319,25896
657,61000,14483,49574,25909
658,61008,14485,49581,25912
659,61237,14534,49772,25999
660,61292,14541,49832,26001
661,61341,14552,49891,26002
662,61527,14599,50045,26081
663,61528,14599,50045,26082
664,61821,14670,50273,26218
665,61869,14679,50320,26228
666,62023,14715,50435,26303
667,62027,14715,50436,26306
668,62055,14720,50466,26309
669,62058,14722,50470,26310
670,62104,14730,50524,26310
671,62104,14731,50525,26310
672,62131,14740,50545,26326
673,62175,14751,50599,26327
674,62177,14753,50600,26330
675,62278,14765,50695,26348
676,62283,14765,50697,26351
677,62457,14808,50831,26434
678,62458,14808,50832,26434
679,62467,14813,50835,26445
680,62472,14813,50837,26448
681,62760,14881,51083,26558
682,62795,14889,51119,26565
683,63098,14952,51360,26690
684,63103,14954,51361,26696
685,63413,15017,51585,26845
686,63462,15022,51636,26848
687,63567,15046,51714,26899
688,63580,15047,51724,26903
689,63621,15062,51779,26904
690,63774,15102,51895,26981
691,63785,15105,51903,26987
692,63941,15135,52024,27052
693,64081,15192,52135,27138
694,64278,15246,52298,27226
695,64292,15251,52311,27232
696,64303,15253,52313,27243
697,64538,15301,52496,27343
698,64551,15305,52510,27346
699,64704,15350,52647,27407
700,64872,15392,52779,27485
701,64907,15400,52794,27513
702,64932,15403,52812,27523
703,64979,15411,52864,27526
704,64986,15413,52868,27531
705,65118,15444,52962,27600
706,65133,15446,52967,27612
707,65147,15451,52968,27630
708,65178,15466,52997,27647
709,65206,15475,53015,27666
710,65266,15485,53079,27672
711,65565,15559,53320,27804
712,65578,15568,53324,27822
713,65582,15569,53327,27824
714,65610,15574,53356,27828
715,65936,15637,53609,27964
716,65986,15655,53669,27972
717,65999,15660,53671,27988
718,66010,15662,53680,27992
719,66070,15676,53734,28012
720,66399,15759,53980,28178
721,66732,15828,54234,28326
722,66740,15831,54240,28331
723,66740,15831,54240,28331
724,66750,15837,54242,28345
725,66769,15839,54256,28352
726,66769,15839,54256,28352
727,66792,15846,54274,28364
728,66882,15873,54343,28412
729,66894,15877,54350,28421
730,66932,15892,54402,28422
731,66994,15904,54463,28435
732,67288,15992,54696,28584
733,67618,16074,54956,28736
734,67657,16080,54984,28753
735,67657,16081,54984,28754
736,67697,16091,55021,28767
737,67938,16137,55211,28864
738,67985,16155,55269,28871
739,68017,16168,55306,28879
740,68033,16170,55317,28886
741,68040,16170,55320,28890
742,68044,16172,55322,28894
743,68227,16210,55466,28971
744,68255,16216,55489,28982
745,68293,16229,55532,28990
746,68306,16232,55536,29002
747,68323,16235,55548,29010
748,68327,16236,55550,29013
749,68359,16243,55572,29030
750,68427,16252,55635,29044
751,68464,16256,55671,29049
752,68542,16276,55762,29056
753,68544,16276,55764,29056
754,68703,16314,55884,29133
755,68965,16376,56136,29205
756,69004,16380,56158,29226
757,69183,16413,56307,29289
758,69230,16421,56351,29300
759,69248,16425,56360,29313
760,69589,16510,56640,29459
761,69775,16546,56781,29540
762,69788,16549,56793,29544
763,69887,16570,56864,29593
764,69941,16579,56925,29595
765,69994,16590,56980,29604
766,70017,16597,56994,29620
767,70064,16610,57033,29641
768,70189,16642,57135,29696
769,70195,16645,57140,29700
770,70243,16656,57197,29702
771,70508,16714,57393,29829
772,70864,16809,57662,30011
773,71023,16835,57776,30082
774,71059,16845,57816,30088
775,71183,16880,57919,30144
776,71196,16888,57923,30161
