user,total_pos_rating,total_neg_rating,total_pos_pur,total_neg_pur
2279,203862,48046,166986,84922
2280,203994,48078,167123,84949
2281,204008,48081,167131,84958
2282,204032,48082,167152,84962
2283,204086,48104,167199,84991
2284,204222,48135,167300,85057
2285,204264,48145,167343,85066
2286,204603,48212,167583,85232
2287,204748,48246,167679,85315
2288,204794,48256,167734,85316
2289,204796,48256,167736,85316
2290,204801,48256,167741,85316
2291,204814,48259,167744,85329
2292,204851,48267,167777,85341
2293,204885,48272,167803,85354
2294,204910,48279,167819,85370
2295,204970,48294,167877,85387
2296,205115,48327,167979,85463
2297,205242,48351,168073,85520
2298,205304,48360,168135,85529
2299,205350,48368,168188,85530
2300,205355,48370,168188,85537
2301,205405,48379,168235,85549
2302,205660,48440,168439,85661
2303,205843,48489,168593,85739
2304,205883,48504,168647,85740
2305,205921,48519,168699,85741
2306,205950,48527,168731,85746
2307,205973,48530,168751,85752
2308,205986,48531,168763,85754
2309,206015,48538,168794,85759
2310,206035,48542,168818,85759
2311,206197,48564,169000,85761
2312,206262,48572,169060,85774
2313,206279,48574,169065,85788
2314,206335,48588,169106,85817
2315,206508,48626,169246,85888
2316,206695,48662,169397,85960
2317,206734,48672,169431,85975
2318,206909,48712,169557,86064
2319,207066,48759,169707,86118
2320,207110,48770,169761,86119
2321,207152,48787,169817,86122
2322,207157,48788,169822,86123
2323,207200,48804,169879,86125
2324,207206,48809,169881,86134
2325,207284,48822,169949,86157
2326,207384,48846,170070,86160
2327,207409,48853,170092,86170
2328,207418,48855,170100,86173
2329,207468,48872,170158,86182
2330,207519,48885,170219,86185
2331,207528,48888,170226,86190
2332,207536,48890,170233,86193
2333,207635,48918,170329,86224
2334,207712,48938,170386,86264
2335,207728,48939,170392,86275
2336,207962,48976,170556,86382
2337,207979,48978,170564,86393
2338,208262,49055,170783,86534
2339,208395,49098,170884,86609
2340,208460,49107,170951,86616
2341,208662,49161,171117,86706
2342,208980,49231,171356,86855
2343,208990,49231,171361,86860
2344,209034,49243,171391,86886
2345,209044,49245,171400,86889
2346,209102,49255,171463,86894
2347,209142,49263,171504,86901
2348,209266,49292,171588,86970
2349,209586,49358,171836,87108
2350,209600,49362,171839,87123
2351,209626,49368,171868,87126
2352,209687,49375,171921,87141
2353,209710,49379,171924,87165
2354,209717,49379,171926,87170
2355,209979,49434,172127,87286
2356,210068,49451,172216,87303
2357,210082,49453,172220,87315
2358,210089,49456,172221,87324
2359,210102,49462,172224,87340
2360,210127,49467,172253,87341
2361,210296,49506,172383,87419
2362,210321,49514,172407,87428
2363,210375,49522,172469,87428
2364,210423,49533,172518,87438
2365,210446,49538,172536,87448
2366,210462,49540,172553,87449
2367,210565,49569,172635,87499
2368,210620,49579,172697,87502
2369,210620,49580,172697,87503
2370,210897,49647,172917,87627
2371,210908,49650,172929,87629
2372,211119,49692,173097,87714
2373,211274,49727,173220,87781
2374,211512,49779,173410,87881
2375,211528,49780,173426,87882
2376,211843,49851,173664,88030
2377,211950,49867,173763,88054
2378,211973,49874,173772,88075
2379,212164,49921,173922,88163
2380,212182,49931,173936,88177
2381,212196,49933,173951,88178
2382,212208,49935,173952,88191
2383,212224,49939,173964,88199
2384,212224,49939,173964,88199
2385,212256,49948,173998,88206
2386,212326,49965,174070,88221
2387,212363,49973,174109,88227
2388,212388,49978,174138,88228
2389,212700,50053,174377,88376
2390,212700,50053,174377,88376
2391,212748,50066,174419,88395
2392,212748,50066,174419,88395
2393,212946,50111,174568,88489
2394,213171,50166,174732,88605
2395,213198,50171,174759,88610
2396,213204,50174,174760,88618
2397,213259,50185,174817,88627
2398,213599,50266,175081,88784
2399,213632,50270,175114,88788
2400,213645,50272,175125,88792
2401,213652,50275,175131,88796
2402,213670,50283,175149,88804
2403,213715,50299,175206,88808
2404,214027,50372,175451,88948
2405,214037,50374,175458,88953
2406,214173,50409,175561,89021
2407,214250,50432,175615,89067
2408,214273,50440,175625,89088
2409,214298,50447,175640,89105
2410,214307,50450,175641,89116
2411,214617,50537,175869,89285
2412,214936,50604,176106,89434
2413,214944,50607,176112,89439
2414,214949,50608,176115,89442
2415,214950,50609,176116,89443
2416,214959,50612,176121,89450
2417,214977,50614,176123,89468
2418,215010,50626,176153,89483
2419,215025,50629,176167,89487
2420,215108,50657,176234,89531
2421,215339,50707,176411,89635
2422,215340,50708,176412,89636
2423,215575,50770,176596,89749
2424,215625,50780,176646,89759
2425,215735,50812,176759,89788
2426,215943,50857,176919,89881
2427,215965,50866,176936,89895
2428,216005,50873,176976,89902
2429,216036,50883,176994,89925
2430,216057,50887,177019,89925
2431,216194,50929,177122,90001
2432,216227,50934,177151,90010
2433,216375,50962,177256,90081
2434,216737,51047,177536,90248
2435,216779,51056,177579,90256
2436,216825,51064,177633,90256
2437,216847,51068,177647,90268
2438,216852,51069,177649,90272
2439,217122,51130,177896,90356
2440,217473,51215,178159,90529
2441,217480,51219,178164,90535
2442,217503,51224,178191,90536
2443,217552,51230,178241,90541
2444,217749,51282,178404,90627
2445,217819,51293,178472,90640
2446,217829,51298,178475,90652
2447,217830,51299,178477,90652
2448,217841,51301,178486,90656
2449,217916,51313,178561,90668
2450,217960,51320,178597,90683
2451,218003,51330,178641,90692
2452,218223,51379,178798,90804
2453,218281,51388,178844,90825
2454,218316,51403,178893,90826
2455,218551,51458,179080,90929
2456,218561,51462,179090,90933
2457,218599,51471,179125,90945
2458,218603,51472,179128,90947
2459,218607,51473,179128,90952
2460,218888,51539,179369,91058
2461,218938,51545,179420,91063
2462,219114,51585,179573,91126
2463,219120,51585,179574,91131
2464,219182,51595,179639,91138
2465,219224,51604,179682,91146
2466,219225,51604,179682,91147
2467,219466,51660,179868,91258
2468,219589,51680,179996,91273
2469,219599,51684,179999,91284
2470,219904,51765,180247,91422
2471,220017,51793,180360,91450
2472,220026,51798,180362,91462
2473,220194,51846,180488,91552
2474,220224,51853,180519,91558
2475,220240,51855,180532,91563
2476,220266,51860,180550,91576
2477,220429,51895,180675,91649
2478,220497,51906,180739,91664
2479,220523,51917,180758,91682
2480,220682,51954,180882,91754
2481,220699,51956,180898,91757
2482,220759,51968,180966,91761
2483,220838,51979,181035,91782
2484,220944,52009,181134,91819
2485,220948,52011,181135,91824
2486,220996,52019,181190,91825
2487,221028,52025,181222,91831
2488,221065,52035,181268,91832
2489,221065,52035,181268,91832
2490,221194,52067,181378,91883
2491,221540,52155,181659,92036
2492,221861,52246,181906,92201
2493,222027,52289,182082,92234
2494,222139,52309,182188,92260
2495,222460,52383,182435,92408
2496,222460,52384,182435,92409
2497,222485,52389,182448,92426
2498,222531,52396,182487,92440
2499,222860,52484,182761,92583
2500,222860,52484,182761,92583
2501,222866,52487,182769,92584
2502,222913,52490,182815,92588
2503,222950,52505,182866,92589
2504,222988,52514,182905,92597
2505,223207,52566,183083,92690
2506,223243,52575,183117,92701
2507,223273,52576,183132,92717
2508,223314,52584,183173,92725
2509,223361,52592,183228,92725
2510,223388,52598,183257,92729
2511,223432,52615,183311,92736
2512,223436,52618,183314,92740
2513,223491,52633,183376,92748
2514,223532,52640,183401,92771
2515,223576,52651,183446,92781
2516,223624,52659,183501,92782
2517,223636,52663,183505,92794
2518,223682,52674,183561,92795
2519,223693,52674,183571,92796
2520,223694,52674,183571,92797
2521,223811,52707,183661,92857
2522,223835,52711,183689,92857
2523,223880,52722,183732,92870
2524,223937,52731,183793,92875
2525,223946,52734,183794,92886
2526,224091,52776,183906,92961
2527,224106,52781,183919,92968
2528,224107,52781,183919,92969
2529,224111,52783,183922,92972
2530,224244,52818,184032,93030
2531,224244,52818,184032,93030
2532,224301,52828,184094,93035
2533,224413,52856,184183,93086
2534,224553,52899,184331,93121
2535,224554,52899,184332,93121
2536,224684,52923,184432,93175
2537,224819,52947,184527,93239
2538,224859,52955,184563,93251
2539,224864,52957,184568,93253
2540,224871,52958,184570,93259
2541,224888,52962,184582,93268
2542,224892,52963,184586,93269
2543,224931,52979,184613,93297
2544,224977,52987,184635,93329
2545,224987,52990,184646,93331
2546,225183,53049,184797,93435
2547,225190,53053,184805,93438
2548,225217,53060,184835,93442
2549,225270,53069,184895,93444
2550,225426,53114,185019,93521
2551,225435,53115,185028,93522
2552,225701,53175,185232,93644
2553,225747,53181,185277,93651
2554,225879,53218,185394,93703
2555,225928,53227,185450,93705
2556,226155,53283,185637,93801
2557,226168,53288,185640,93816
2558,226168,53288,185640,93816
2559,226402,53345,185819,93928
2560,226450,53356,185877,93929
2561,226795,53427,186137,94085
2562,226943,53464,186253,94154
2563,226978,53472,186273,94177
2564,227358,53570,186566,94362
2565,227376,53579,186574,94381
2566,227421,53584,186620,94385
2567,227627,53644,186789,94482
2568,227649,53647,186804,94492
2569,227667,53652,186811,94508
2570,227782,53680,186900,94562
2571,227786,53683,186901,94568
2572,227789,53683,186901,94571
2573,227823,53687,186919,94591
2574,227849,53693,186948,94594
2575,228106,53747,187141,94712
2576,228111,53748,187145,94714
2577,228116,53750,187149,94717
2578,228240,53796,187251,94785
2579,228359,53833,187361,94831
2580,228564,53880,187526,94918
2581,228568,53881,187529,94920
2582,228598,53889,187560,94927
2583,228946,53989,187828,95107
2584,229116,54038,187964,95190
2585,229162,54046,188017,95191
2586,229162,54046,188017,95191
2587,229187,54051,188044,95194
2588,229257,54062,188106,95213
2589,229257,54063,188106,95214
2590,229261,54063,188110,95214
2591,229303,54074,188154,95223
2592,229354,54091,188195,95250
2593,229362,54093,188196,95259
2594,229365,54097,188200,95262
2595,229534,54140,188332,95342
2596,229584,54152,188379,95357
2597,229629,54162,188433,95358
2598,229947,54235,188665,95517
2599,230298,54324,188932,95690
2600,230454,54355,189059,95750
2601,230461,54362,189063,95760
2602,230581,54391,189147,95825
2603,230600,54396,189154,95842
2604,230616,54402,189170,95848
2605,230651,54408,189201,95858
2606,230665,54409,189210,95864
2607,230672,54410,189212,95870
2608,230729,54419,189267,95881
2609,230881,54454,189388,95947
2610,230905,54460,189404,95961
2611,231087,54505,189549,96043
2612,231105,54511,189553,96063
2613,231264,54548,189679,96133
2614,231324,54558,189743,96139
2615,231628,54620,189992,96256
2616,231896,54687,190211,96372
2617,231900,54688,190213,96375
2618,231904,54689,190214,96379
2619,232065,54729,190354,96440
2620,232302,54785,190539,96548
2621,232305,54786,190543,96548
2622,232329,54792,190571,96550
2623,232386,54800,190627,96559
2624,232600,54848,190799,96649
2625,232601,54849,190800,96650
2626,232672,54859,190842,96689
2627,232989,54935,191095,96829
2628,232990,54935,191095,96830
2629,232990,54935,191095,96830
2630,233040,54947,191138,96849
2631,233085,54952,191184,96853
2632,233355,55015,191426,96944
2633,233373,55023,191439,96957
2634,233570,55067,191591,97046
2635,233866,55127,191822,97171
2636,233877,55132,191835,97174
2637,233924,55143,191892,97175
2638,233945,55147,191902,97190
2639,233948,55149,191902,97195
2640,233974,55155,191913,97216
2641,234011,55158,191934,97235
2642,234047,55163,191969,97241
2643,234057,55165,191969,97253
2644,234098,55172,192009,97261
2645,234114,55175,192019,97270
2646,234119,55178,192027,97270
2647,234125,55182,192027,97280
2648,234159,55188,192053,97294
2649,234467,55267,192285,97449
2650,234506,55282,192338,97450
2651,234555,55287,192389,97453
2652,234853,55377,192623,97607
2653,234936,55402,192688,97650
2654,234992,55420,192750,97662
2655,235304,55509,192994,97819
2656,235403,55530,193058,97875
2657,235408,55530,193059,97879
2658,235442,55540,193097,97885
2659,235783,55621,193376,98028
2660,235854,55635,193443,98046
2661,236011,55668,193559,98120
2662,236282,55733,193773,98242
2663,236305,55741,193783,98263
2664,236313,55744,193787,98270
2665,236619,55826,194054,98391
2666,236642,55834,194069,98407
2667,236877,55896,194246,98527
2668,236881,55896,194250,98527
2669,236882,55896,194250,98528
2670,236890,55897,194258,98529
2671,237010,55924,194354,98580
2672,237100,55943,194413,98630
2673,237165,55957,194485,98637
2674,237165,55957,194485,98637
2675,237195,55962,194510,98647
2676,237541,56044,194766,98819
2677,237551,56044,194774,98821
2678,237852,56124,195008,98968
2679,238174,56210,195261,99123
2680,238222,56221,195318,99125
2681,238361,56249,195416,99194
2682,238361,56250,195416,99195
2683,238592,56311,195596,99307
2684,238887,56382,195839,99430
2685,238931,56393,195893,99431
2686,238992,56404,195959,99437
2687,239034,56419,196015,99438
2688,239222,56458,196161,99519
2689,239225,56460,196161,99524
2690,239285,56468,196220,99533
2691,239320,56476,196254,99542
2692,239479,56521,196389,99611
2693,239636,56572,196535,99673
2694,239663,56579,196565,99677
2695,239698,56585,196601,99682
2696,239913,56636,196779,99770
2697,240079,56674,196911,99842
2698,240099,56679,196922,99856
2699,240133,56693,196970,99856
2700,240139,56695,196978,99856
2701,240208,56706,197040,99874
2702,240237,56713,197063,99887
2703,240244,56713,197069,99888
2704,240283,56719,197099,99903
2705,240322,56725,197139,99908
2706,240452,56757,197278,99931
2707,240765,56829,197523,100071
2708,240776,56830,197526,100080
2709,240807,56839,197558,100088
2710,240833,56845,197586,100092
2711,241063,56893,197760,100196
2712,241153,56911,197855,100209
2713,241157,56911,197857,100211
2714,241188,56917,197881,100224
2715,241195,56918,197885,100228
2716,241332,56965,197984,100313
2717,241610,57034,198207,100437
2718,241622,57035,198211,100446
2719,241687,57046,198277,100456
2720,241754,57067,198341,100480
2721,241791,57076,198376,100491
2722,241837,57080,198422,100495
2723,241876,57095,198475,100496
2724,241922,57103,198529,100496
2725,241936,57106,198534,100508
2726,241960,57109,198561,100508
2727,242021,57127,198614,100534
2728,242204,57175,198770,100609
2729,242354,57207,198907,100654
2730,242389,57213,198942,100660
2731,242713,57293,199198,100808
2732,242723,57297,199205,100815
2733,242725,57298,199207,100816
2734,242742,57302,199215,100829
2735,242829,57322,199278,100873
2736,242837,57325,199283,100879
2737,242868,57333,199293,100908
2738,243026,57369,199421,100974
2739,243035,57371,199423,100983
2740,243084,57382,199481,100985
2741,243092,57386,199487,100991
2742,243278,57441,199628,101091
2743,243519,57502,199802,101219
2744,243542,57505,199828,101219
2745,243744,57560,199985,101319
2746,243787,57565,200031,101321
2747,243811,57570,200059,101322
2748,244164,57666,200334,101496
2749,244378,57712,200514,101576
2750,244379,57713,200515,101577
2751,244406,57720,200545,101581
2752,244449,57735,200602,101582
2753,244450,57735,200603,101582
2754,244616,57775,200728,101663
2755,244754,57807,200830,101731
2756,244785,57814,200863,101736
2757,244798,57818,200867,101749
2758,244815,57820,200875,101760
2759,244871,57829,200936,101764
2760,244896,57834,200964,101766
2761,244943,57843,200996,101790
2762,244995,57849,201048,101796
2763,245044,57853,201097,101800
2764,245253,57906,201264,101895
2765,245269,57910,201274,101905
2766,245326,57919,201332,101913
2767,245651,58008,201586,102073
2768,245960,58076,201820,102216
2769,245986,58082,201836,102232
2770,246300,58159,202084,102375
2771,246348,58174,202131,102391
2772,246396,58191,202159,102428
2773,246397,58191,202159,102429
2774,246471,58202,202228,102445
2775,246471,58202,202228,102445
2776,246510,58217,202281,102446
2777,246564,58231,202342,102453
2778,246576,58235,202349,102462
2779,246580,58235,202353,102462
2780,246763,58284,202500,102547
2781,247085,58379,202751,102713
2782,247165,58398,202825,102738
2783,247182,58400,202836,102746
2784,247239,58408,202898,102749
2785,247258,58410,202917,102751
2786,247317,58420,202977,102760
2787,247465,58454,203102,102817
2788,247508,58462,203153,102817
2789,247564,58472,203215,102821
2790,247628,58480,203273,102835
2791,247639,58484,203277,102846
2792,247686,58495,203317,102864
2793,248005,58571,203580,102996
2794,248264,58625,203774,103115
2795,248378,58648,203861,103165
2796,248425,58656,203916,103165
2797,248451,58666,203938,103179
2798,248475,58669,203952,103192
2799,248611,58720,204061,103270
2800,248931,58790,204304,103417
2801,248933,58790,204304,103419
2802,248960,58796,204333,103423
2803,249198,58851,204521,103528
2804,249326,58897,204619,103604
2805,249386,58906,204679,103613
2806,249605,58969,204847,103727
2807,249609,58970,204848,103731
2808,249624,58970,204860,103734
2809,249924,59032,205085,103871
2810,250280,59112,205356,104036
2811,250284,59115,205358,104041
2812,250363,59132,205436,104059
2813,250419,59143,205500,104062
2814,250459,59150,205528,104081
2815,250524,59164,205600,104088
2816,250566,59174,205644,104096
2817,250588,59177,205654,104111
2818,250602,59179,205661,104120
2819,250915,59261,205902,104274
2820,250970,59270,205963,104277
2821,251136,59316,206105,104347
2822,251137,59316,206106,104347
2823,251148,59319,206113,104354
2824,251170,59328,206123,104375
2825,251184,59330,206130,104384
2826,251223,59345,206183,104385
2827,251461,59401,206361,104501
2828,251477,59402,206368,104511
2829,251843,59503,206656,104690
2830,251843,59503,206656,104690
2831,252175,59583,206920,104838
2832,252189,59587,206925,104851
2833,252203,59590,206933,104860
2834,252296,59609,207025,104880
2835,252304,59609,207030,104883
2836,252502,59654,207182,104974
2837,252539,59662,207222,104979
2838,252605,59673,207289,104989
2839,252948,59746,207551,105143
2840,253024,59758,207617,105165
2841,253037,59759,207626,105170
2842,253376,59839,207870,105345
2843,253713,59933,208119,105527
2844,253754,59942,208161,105535
2845,253791,59951,208196,105546
2846,253948,59996,208353,105591
2847,253994,60003,208387,105610
2848,254005,60005,208394,105616
2849,254212,60067,208566,105713
2850,254499,60124,208792,105831
2851,254528,60132,208823,105837
2852,254561,60142,208861,105842
2853,254898,60221,209110,106009
2854,254926,60228,209140,106014
2855,254978,60246,209201,106023
2856,255150,60294,209339,106105
2857,255202,60300,209392,106110
2858,255202,60300,209392,106110
2859,255388,60334,209531,106191
2860,255495,60360,209613,106242
2861,255501,60364,209613,106252
2862,255523,60366,209628,106261
2863,255573,60379,209688,106264
2864,255604,60387,209713,106278
2865,255655,60394,209771,106278
2866,255703,60402,209826,106279
2867,255963,60465,210026,106402
2868,255971,60465,210031,106405
2869,256021,60470,210082,106409
2870,256032,60473,210092,106413
2871,256074,60483,210130,106427
2872,256244,60527,210269,106502
2873,256273,60536,210294,106515
2874,256666,60625,210592,106699
2875,256703,60640,210643,106700
2876,256856,60671,210761,106766
2877,256896,60678,210801,106773
2878,256900,60678,210805,106773
2879,257053,60715,210934,106834
2880,257205,60751,211059,106897
2881,257462,60808,211254,107016
2882,257475,60812,211266,107021
2883,257761,60888,211518,107131
2884,258087,60956,211766,107277
2885,258118,60966,211802,107282
2886,258120,60969,211803,107286
2887,258129,60972,211808,107293
2888,258155,60973,211825,107303
2889,258184,60982,211849,107317
2890,258284,61002,211914,107372
2891,258431,61036,212024,107443
2892,258451,61037,212029,107459
2893,258616,61072,212156,107532
2894,258721,61098,212232,107587
2895,259003,61161,212474,107690
2896,259343,61253,212748,107848
2897,259380,61261,212788,107853
2898,259431,61270,212828,107873
2899,259640,61316,212986,107970
2900,259997,61410,213246,108161
2901,260064,61420,213287,108197
2902,260105,61431,213324,108212
2903,260150,61437,213365,108222
2904,260495,61517,213633,108379
2905,260544,61523,213683,108384
2906,260563,61528,213695,108396
2907,260695,61565,213833,108427
2908,260770,61576,213900,108446
2909,260791,61580,213925,108446
2910,261006,61627,214087,108546
2911,261019,61629,214088,108560
2912,261172,61668,214203,108637
2913,261299,61681,214313,108667
2914,261326,61688,214331,108683
2915,261460,61731,214438,108753
2916,261557,61755,214528,108784
2917,261594,61762,214561,108795
2918,261599,61763,214564,108798
2919,261604,61765,214568,108801
2920,261611,61765,214572,108804
2921,261615,61766,214573,108808
2922,261964,61842,214841,108965
2923,262112,61883,214952,109043
2924,262132,61889,214973,109048
2925,262132,61889,214973,109048
2926,262195,61899,215038,109056
2927,262453,61951,215228,109176
2928,262562,61984,215337,109209
2929,262597,61990,215373,109214
2930,262807,62034,215530,109311
2931,262895,62063,215599,109359
2932,263088,62106,215752,109442
2933,263264,62150,215896,109518
2934,263329,62165,215956,109538
2935,263332,62165,215956,109541
2936,263408,62177,216026,109559
2937,263528,62202,216108,109622
2938,263575,62210,216163,109622
2939,263581,62211,216167,109625
2940,263807,62269,216443,109633
2941,263973,62311,216572,109712
2942,264002,62318,216597,109723
2943,264041,62326,216633,109734
2944,264041,62327,216633,109735
2945,264044,62329,216633,109740
2946,264053,62330,216639,109744
2947,264382,62420,216896,109906
2948,264429,62431,216952,109908
2949,264437,62433,216962,109908
2950,264441,62433,216964,109910
2951,264752,62506,217207,110051
2952,264760,62510,217209,110061
2953,265064,62575,217440,110199
2954,265350,62639,217675,110314
2955,265351,62640,217677,110314
2956,265666,62695,217920,110441
2957,265970,62764,218157,110577
2958,266243,62828,218374,110697
2959,266247,62828,218377,110698
2960,266523,62898,218610,110811
2961,266652,62931,218710,110873
2962,266677,62937,218738,110876
2963,266723,62948,218794,110877
2964,266739,62951,218798,110892
2965,266742,62951,218800,110893
2966,266838,62985,218898,110925
2967,266854,62987,218901,110940
2968,266974,63012,218993,110993
2969,267101,63035,219122,111014
2970,267383,63100,219338,111145
2971,267431,63105,219388,111148
2972,267480,63113,219429,111164
2973,267583,63120,219525,111178
2974,267881,63184,219753,111312
2975,267888,63184,219758,111314
2976,268039,63212,219877,111374
2977,268044,63213,219879,111378
2978,268071,63219,219908,111382
2979,268124,63227,219969,111382
2980,268450,63305,220228,111527
2981,268581,63327,220360,111548
2982,268623,63338,220393,111568
2983,268676,63345,220440,111581
2984,268725,63358,220499,111584
2985,268727,63359,220501,111585
2986,268766,63374,220554,111586
2987,268770,63374,220555,111589
2988,268943,63415,220686,111672
2989,268989,63420,220734,111675
2990,269001,63426,220743,111684
2991,269321,63521,220987,111855
2992,269368,63528,221041,111855
2993,269429,63540,221091,111878
2994,269804,63639,221361,112082
2995,269851,63652,221404,112099
2996,270087,63708,221597,112198
2997,270115,63715,221626,112204
2998,270401,63774,221852,112323
2999,270483,63797,221912,112368
3000,270601,63821,222000,112422
3001,270689,63831,222093,112427
3002,270689,63831,222093,112427
3003,270752,63844,222163,112433
3004,270773,63851,222182,112442
3005,270783,63853,222190,112446
3006,270816,63859,222223,112452
3007,270835,63863,222235,112463
3008,270836,63863,222236,112463
3009,270894,63877,222282,112489
3010,270929,63888,222311,112506
3011,271007,63905,222359,112553
3012,271130,63939,222491,112578
3013,271290,63983,222625,112648
3014,271461,64026,222758,112729
3015,271504,64036,222796,112744
3016,271513,64038,222799,112752
3017,271810,64112,223039,112883
3018,272137,64194,223295,113036
3019,272155,64204,223303,113056
3020,272183,64210,223326,113067
3021,272189,64212,223329,113072
3022,272328,64256,223431,113153
3023,272376,64261,223480,113157
3024,272701,64322,223722,113301
3025,272890,64361,223868,113383
3026,272944,64376,223928,113392
3027,272992,64380,223976,113396
3028,273329,64465,224252,113542
3029,273389,64475,224316,113548
3030,273392,64476,224320,113548
3031,273636,64546,224520,113662
3032,273699,64560,224591,113668
3033,273808,64589,224708,113689
3034,273814,64593,224711,113696
3035,274021,64644,224873,113792
3036,274069,64658,224908,113819
3037,274273,64711,225075,113909
3038,274322,64723,225113,113932
3039,274330,64726,225114,113942
3040,274473,64763,225243,113993
3041,274476,64763,225245,113994
3042,274485,64766,225247,114004
3043,274732,64831,225448,114115
3044,274788,64840,225501,114127
3045,274975,64883,225645,114213
3046,275340,64969,225911,114398
3047,275686,65051,226173,114564
3048,275699,65053,226185,114567
3049,275707,65062,226187,114582
3050,275723,65065,226189,114599
3051,275723,65065,226189,114599
3052,275749,65073,226212,114610
3053,275749,65073,226212,114610
3054,275779,65078,226242,114615
3055,275970,65129,226407,114692
3056,276211,65181,226596,114796
3057,276223,65188,226599,114812
3058,276224,65189,226600,114813
3059,276361,65237,226706,114892
3060,276375,65243,226720,114898
3061,276388,65248,226730,114906
3062,276434,65265,226769,114930
3063,276463,65270,226786,114947
3064,276759,65341,227006,115094
3065,276769,65343,227015,115097
3066,276834,65360,227091,115103
3067,276891,65374,227139,115126
3068,277220,65467,227401,115286
3069,277414,65519,227559,115374
3070,277654,65562,227761,115455
3071,277701,65567,227809,115459
3072,277703,65568,227809,115462
3073,277782,65580,227879,115483
3074,277825,65595,227934,115486
3075,277866,65602,227960,115508
3076,277869,65603,227962,115510
3077,278170,65672,228181,115661
3078,278176,65672,228186,115662
3079,278177,65672,228186,115663
3080,278260,65688,228276,115672
3081,278308,65693,228326,115675
3082,278330,65696,228346,115680
3083,278345,65699,228363,115681
3084,278521,65740,228502,115759
3085,278724,65788,228649,115863
3086,278729,65789,228650,115868
3087,278767,65802,228700,115869
3088,278929,65848,228829,115948
3089,278968,65857,228865,115960
3090,278992,65857,228880,115969
3091,279065,65876,228946,115995
3092,279109,65882,228966,116025
3093,279151,65890,229009,116032
3094,279165,65893,229023,116035
3095,279175,65897,229032,116040
3096,279194,65900,229039,116055
3097,279195,65900,229040,116055
3098,279239,65907,229076,116070
3099,279549,65983,229312,116220
3100,279778,66037,229490,116325
3101,279780,66039,229494,116325
3102,279999,66088,229659,116428
3103,280067,66108,229721,116454
3104,280074,66111,229726,116459
3105,280115,66122,229769,116468
3106,280170,66127,229812,116485
3107,280214,66143,229869,116488
3108,280220,66144,229874,116490
3109,280221,66144,229875,116490
3110,280519,66212,230104,116627
3111,280563,66225,230132,116656
3112,280631,66235,230176,116690
3113,280656,66242,230205,116693
3114,280703,66250,230260,116693
3115,280703,66250,230260,116693
3116,280982,66319,230472,116829
3117,281120,66350,230575,116895
3118,281162,66357,230616,116903
3119,281298,66385,230716,116967
3120,281307,66385,230723,116969
3121,281365,66396,230770,116991
3122,281470,66426,230851,117045
3123,281531,66438,230919,117050
3124,281546,66442,230925,117063
3125,281876,66516,231189,117203
3126,281995,66547,231310,117232
3127,282288,66612,231531,117369
3128,282326,66619,231550,117395
3129,282328,66621,231550,117399
3130,282337,66625,231552,117410
3131,282371,66639,231599,117411
3132,282378,66640,231606,117412
3133,282434,66654,231642,117446
3134,282668,66714,231831,117551
3135,282714,66722,231885,117551
3136,282766,66730,231945,117551
3137,283103,66801,232208,117696
3138,283134,66810,232241,117703
3139,283137,66810,232243,117704
3140,283150,66811,232253,117708
3141,283154,66812,232255,117711
3142,283496,66903,232535,117864
3143,283831,66990,232805,118016
3144,283888,67004,232868,118024
3145,284133,67065,233061,118137
3146,284138,67066,233062,118142
3147,284164,67072,233091,118145
3148,284202,67085,233141,118146
3149,284333,67119,233229,118223
3150,284346,67122,233236,118232
3151,284553,67158,233416,118295
3152,284595,67174,233460,118309
3153,284634,67182,233501,118315
3154,284643,67185,233502,118326
3155,284839,67225,233649,118415
3156,284902,67235,233712,118425
3157,285154,67290,233899,118545
3158,285194,67301,233941,118554
3159,285194,67301,233941,118554
3160,285204,67306,233948,118562
3161,285221,67317,233951,118587
3162,285545,67390,234211,118724
3163,285744,67433,234417,118760
3164,285782,67448,234469,118761
3165,286058,67505,234669,118894
3166,286103,67516,234724,118895
3167,286118,67517,234734,118901
3168,286136,67521,234747,118910
3169,286175,67529,234768,118936
3170,286314,67568,234877,119005
3171,286434,67593,234988,119039
3172,286441,67593,234990,119044
3173,286576,67625,235092,119109
3174,286762,67663,235233,119192
3175,286906,67699,235357,119248
3176,287156,67760,235556,119360
3177,287266,67792,235634,119424
3178,287302,67801,235661,119442
3179,287644,67883,235915,119612
3180,287687,67893,235959,119621
3181,287710,67897,235978,119629
3182,288027,67979,236234,119772
3183,288328,68064,236487,119905
3184,288374,68075,236544,119905
3185,288625,68122,236737,120010
3186,288861,68169,236911,120119
3187,288873,68178,236913,120138
3188,288882,68180,236916,120146
3189,288932,68186,236967,120151
3190,288935,68190,236972,120153
3191,288939,68190,236972,120157
3192,289132,68235,237119,120248
3193,289149,68239,237126,120262
3194,289320,68279,237259,120340
3195,289462,68303,237355,120410
3196,289464,68303,237356,120411
3197,289467,68308,237357,120418
3198,289705,68367,237543,120529
3199,289813,68388,237610,120591
3200,290114,68453,237828,120739
3201,290186,68465,237897,120754
3202,290434,68523,238095,120862
3203,290434,68523,238095,120862
3204,290459,68529,238124,120864
3205,290463,68529,238127,120865
3206,290497,68537,238163,120871
3207,290497,68537,238163,120871
3208,290528,68544,238182,120890
3209,290803,68605,238429,120979
